text,label
"Aku merasa gagal jadi ibu",1
"Aku tidak sanggup begini terus setiap hari",1
"Aku merasa anakku lebih baik tanpa aku",1
"Aku tidak tahu harus minta bantuan ke siapa",1
"Aku sudah capek banget secara fisik dan mental",1
"Aku cuma ingin semuanya selesai",1
"Aku tidak punya tenaga lagi buat terus hidup",1
"Aku merasa sendirian dan tidak dipahami",1
"Aku nyaris tidak pernah tidur, aku lelah banget",1
"Aku ingin kabur dari semuanya",1
"Aku sudah tidak tahu gimana rasanya bahagia",1
"Aku merasa seperti robot, tidak ada artinya",1
"Aku cuma bisa menangis setiap malam",1
"Aku tidak bisa mengurus anakku dengan baik",1
"Aku merasa tidak layak jadi ibu",1
"Aku sering mikir buat menghilang selamanya",1
"Aku tidak ada yang dukung, semuanya menyalahkan aku",1
"Setiap hari rasanya lebih berat dari sebelumnya",1
"Aku sudah menyerah, ini terlalu sakit",1
"Kalau aku tidak ada, semuanya mungkin lebih tenang",1
"Aku takut sama diriku sendiri",1
"Aku terus merasa bersalah tanpa alasan",1
"Aku tidak sanggup lihat bayiku menangis terus",1
"Aku merasa semua ini salahku",1
"Aku berharap bisa tidur dan tidak bangun lagi",1
"Aku tidak punya waktu buat diriku sendiri",1
"Aku merasa hancur",1
"Orang-orang bilang aku harus kuat, tapi aku tidak bisa",1
"Aku merasa bodoh dan tidak berguna",1
"Aku sudah coba bertahan tapi capek banget",1
"Aku ingin berhenti jadi ibu",1
"Aku merasa tidak punya kendali atas hidupku",1
"Aku takut melukai anakku atau diriku sendiri",1
"Kadang aku mikir kalau aku mati semua beres",1
"Orang lain sepertinya bisa jadi ibu yang baik, kenapa aku tidak?",1
"Aku cuma numpang hidup",1
"Suamiku tidak mengerti aku sama sekali",1
"Aku butuh bantuan tapi malu buat berbicara",1
"Aku merasa terjebak",1
"Kenapa semuanya harus seberat ini?",1
"Setiap hari rasanya seperti hukuman",1
"Aku tidak bisa lagi tahan tangisanku",1
"Kalau aku menghilang mungkin tidak ada yang sadar",1
"Aku cuma ingin tidur terus",1
"Aku tidak punya energi buat melakukan apa-apa",1
"Semua orang sepertinya lebih baik dari aku",1
"Setiap lihat anakku aku merasa gagal",1
"Kenapa aku harus hidup seperti ini?",1
"Aku ingin berhenti merasakan semuanya",1
"Aku takut aku akan kehilangan kendali",1
"Aku merasa hidupku tidak ada artinya lagi",1
"Aku tidak bisa berhenti menangis meski aku mau",1
"Aku merasa anakku tidak sayang sama aku",1
"Aku takut aku tidak bisa jadi ibu yang baik",1
"Aku merasa terisolasi dari dunia",1
"Aku tidak tahu cara keluar dari perasaan ini",1
"Aku merasa seperti hidup di kegelapan",1
"Aku takut aku tidak cukup kuat untuk anakku",1
"Aku tidak bisa lihat masa depan yang cerah",1
"Aku merasa semua beban ada di pundakku",1
"Aku tidak bisa menikmati waktu bersama anakku",1
"Aku merasa hidup ini cuma penderitaan",1
"Aku takut aku tidak bisa bertahan lagi",1
"Aku merasa aku cuma bikin masalah",1
"Aku tidak punya siapa-siapa untuk cerita",1
"Aku merasa seperti orang asing di hidupku sendiri",1
"Aku tidak bisa melupakan perasaan bersalah ini",1
"Aku merasa anakku pantas dapat ibu yang lebih baik",1
"Aku takut pikiran buruk ini tidak akan hilang",1
"Aku merasa seperti terperangkap dalam tubuhku sendiri",1
"Aku tidak tahu kenapa aku tidak bisa bahagia",1
"Aku merasa seperti bayangan, tidak nyata",1
"Aku takut aku akan menyakiti orang yang aku sayang",1
"Aku tidak bisa mengontrol emosi aku lagi",1
"Aku merasa hidup ini terlalu berat untuk dijalani",1
"Aku tidak bisa lihat apa gunanya aku di sini",1
"Aku takut aku tidak bisa mencintai anakku seperti seharusnya",1
"Aku merasa seperti tenggelam setiap hari",1
"Aku tidak punya harapan lagi untuk besok",1
"Aku merasa semua orang membenci aku",1
"Aku takut aku tidak akan pernah sembuh",1
"Aku merasa seperti beban buat keluargaku",1
"Aku tidak bisa melihat diriku di cermin lagi",1
"Aku merasa seperti gagal dalam segala hal",1
"Aku tidak tahu apa yang salah dengan diriku",1
"Aku takut aku tidak bisa jadi ibu yang anakku butuhkan",1
"Aku merasa seperti hidup dalam mimpi buruk",1
"Aku tidak bisa merasakan apa-apa lagi",1
"Aku merasa aku tidak pantas untuk dicintai",1
"Aku takut aku akan menghancurkan hidup anakku",1
"Aku merasa seperti aku tidak hidup, cuma bertahan",1
"Aku tidak tahu cara mengatasi semua ini",1
"Aku merasa seperti aku tidak punya tempat di dunia ini",1
"Aku takut pikiran ini akan menghancurkan aku",1
"Aku merasa seperti aku cuma menyusahkan orang",1
"Aku tidak bisa lihat jalan keluar dari semua ini",1
"Aku merasa seperti aku tidak lagi jadi diriku sendiri",1
"Aku takut aku akan kehilangan semua yang aku sayang",1
"Aku ingin menghilang",1
"Aku tidak peduli lagi kalau aku mati",1
"Aku benar-benar ingin semuanya berakhir sekarang",1
"Aku merasa lebih baik kalau aku tidak pernah dilahirkan",1
"Aku sering membayangkan hidup tanpa aku lebih tenang",1
"Setiap malam aku berharap tidak bangun lagi",1
"Aku tidak bisa berhenti berpikir untuk menyakiti diriku sendiri",1
"Aku sudah merencanakan cara mengakhiri semuanya",1
"Aku ingin lompat dari balkon dan hilang",1
"Tidak ada yang akan peduli kalau aku pergi",1
"Aku bahkan tidak merasa hidup itu layak dijalani",1
"Aku ngerasa kayak bom waktu yang siap meledak",1
"Aku ngerasa lebih buruk dari sampah",1
"Aku sudah capek berpura-pura baik-baik saja",1
"Aku udah nggak kuat pura-pura jadi ibu yang baik",1
"Aku sudah menyerah sama hidup ini",1
"Aku benci diriku sendiri lebih dari siapa pun",1
"Aku lebih baik mati daripada terus hidup kayak gini",1
"Aku merasa tidak ada yang bisa menyelamatkanku",1
"Aku ingin tidur selamanya dan tidak bangun lagi",1
"Aku merasa tidak pantas untuk hidup di dunia ini",1
"Anakku tersenyum tadi, rasanya menyenangkan",0
"Aku senang bisa bernyanyi untuk anakku sebelum tidur",0
"Hari ini aku berhasil memasak makanan favorit keluarga",0
"Aku merasa lebih energik setelah tidur cukup",0
"Aku suka melihat anakku bermain dengan mainannya",0
"Aku baru saja jalan-jalan bersama bayiku, terasa segar",0
"Tadi aku berbincang dengan teman, sangat seru",0
"Aku berhasil menyanyikan lagu anak untuk bayiku",0
"Hari ini aku sempat membaca buku favoritku",0
"Aku merasa bangga bisa menyusui anakku",0
"Aku senang bisa mengajak anakku ke taman",0
"Tadi aku membuat kue dan anakku menyukainya",0
"Aku merasa lebih tenang setelah meditasi",0
"Aku suka melihat anakku tertawa",0
"Hari ini aku berhasil merapikan rumah",0
"Aku senang bisa bercerita dengan suamiku tadi",0
"Aku merasa bersyukur memiliki keluarga kecilku",0
"Aku baru saja berolahraga, tubuh terasa lebih segar",0
"Aku suka melihat anakku belajar hal baru",0
"Hari ini aku berhasil memasak resep baru",0
"Aku senang bisa memeluk anakku setiap hari",0
"Aku merasa lebih rileks setelah mandi air hangat",0
"Aku suka melihat anakku tidur nyenyak",0
"Tadi aku berbincang dengan ibu-ibu lain di taman",0
"Aku berhasil membuat mainan baru untuk anakku",0
"Aku merasa bahagia melihat anakku sehat",0
"Aku senang bisa membacakan cerita untuk anakku",0
"Hari ini aku sempat mendengarkan musik favoritku",0
"Aku suka melihat anakku mencoba berjalan sendiri",0
"Aku merasa lebih baik setelah berjalan pagi",0
"Aku senang bisa mengajak anakku bermain di halaman",0
"Aku berhasil membuat jadwal harian yang membantu",0
"Aku suka melihat anakku tersenyum kepadaku",0
"Hari ini aku merasa lebih terorganisir",0
"Aku senang bisa melakukan panggilan video dengan keluarga",0
"Aku merasa tenang setelah yoga tadi",0
"Aku suka melihat anakku bermain dengan ayahnya",0
"Aku berhasil membuat makanan sehat untuk keluarga",0
"Aku senang bisa mengajak anakku ke dokter tepat waktu",0
"Aku merasa bangga bisa mengajarkan sesuatu kepada anakku",0
"Aku suka melihat anakku mencoba berbicara",0
"Hari ini aku sempat bersantai sambil minum teh",0
"Aku senang bisa membantu suami di rumah",0
"Aku merasa lebih kuat setelah beristirahat",0
"Aku suka melihat anakku belajar makan sendiri",0
"Aku berhasil membuat album foto keluarga",0
"Aku senang bisa menceritakan hariku kepada teman",0
"Aku merasa bahagia bisa bernyanyi bersama anakku",0
"Aku suka melihat anakku bermain dengan temannya",0
"Hari ini aku berhasil menyelesaikan pekerjaan rumah",0
"Aku senang bisa memeluk suamiku tadi malam",0
"Aku merasa bersyukur atas keluarga kecilku",0
"Aku suka melihat anakku mencoba menggambar sesuatu",0
"Aku berhasil membuat rutinitas malam yang nyaman",0
"Aku senang bisa mengajak anakku ke perpustakaan",0
"Aku merasa lebih baik setelah curhat kepada teman",0
"Aku suka melihat anakku senang bermain air",0
"Hari ini aku berhasil membuat kue ulang tahun",0
"Aku senang bisa mengajak anakku berjalan sore",0
"Aku merasa tenang setelah membaca buku",0
"Aku suka melihat anakku mencoba bernyanyi",0
"Aku berhasil membuat dekorasi kamar anakku",0
"Aku senang bisa berbincang dengan tetangga tadi",0
"Aku merasa lebih energik setelah sarapan sehat",0
"Aku suka melihat anakku belajar warna",0
"Hari ini aku berhasil menyelesaikan cucian",0
"Aku senang bisa membuat mainan dari kardus",0
"Aku merasa bahagia melihat keluargaku makan bersama",0
"Aku suka melihat anakku tidur dengan damai",0
"Aku berhasil membuat jadwal tidur yang baik",0
"Aku senang bisa jalan-jalan bersama keluarga",0
"Aku merasa lebih rileks setelah mendengarkan musik",0
"Aku suka melihat anakku mencoba membaca buku",0
"Aku berhasil membuat makanan favorit anakku",0
"Aku senang bisa mengajak anakku ke kebun binatang",0
"Aku merasa bangga bisa mengurus anakku sendiri",0
"Aku suka melihat anakku bermain dengan kakek dan neneknya",0
"Hari ini aku berhasil menyelesaikan semua tugas",0
"Aku senang bisa membuat hadiah untuk teman",0
"Aku merasa tenang setelah salat tadi",0
"Aku suka melihat anakku mencoba menari",0
"Aku berhasil membuat ruang bermain untuk anakku",0
"Aku senang bisa bercerita dengan ibu mertua",0
"Aku merasa lebih baik setelah tidur siang",0
"Aku suka melihat anakku belajar huruf",0
"Aku berhasil membuat jadwal makan yang teratur",0
"Aku senang bisa mengajak anakku ke pantai",0
"Aku merasa bahagia melihat anakku tertawa",0
"Aku suka melihat anakku bermain dengan sepupunya",0
"Hari ini aku berhasil membuat camilan sehat",0
"Aku senang bisa membantu anakku belajar",0
"Aku merasa lebih kuat setelah berbincang dengan keluarga",0
"Aku suka melihat anakku mencoba berlari",0
"Aku berhasil membuat buku cerita untuk anakku",0
"Aku senang bisa berjalan pagi bersama suami",0
"Aku merasa bersyukur bisa melihat anakku tumbuh",0
"Aku suka melihat anakku bermain di taman",0
"Aku berhasil membuat rutinitas yang menyenangkan",0
"Aku senang bisa bernyanyi lagu anak bersama keluarga",0
"Aku baik baik saja",0
"Aku menikmati waktu sendirian sambil minum kopi",0
"Aku merasa damai saat mendengarkan hujan",0
"Aku bersyukur bisa istirahat sejenak hari ini",0
"Aku senang melihat tanaman di halaman mulai tumbuh",0
"Aku merasa produktif setelah menyelesaikan beberapa pekerjaan",0
"Aku suka suasana pagi yang tenang sebelum anakku bangun",0
"Aku merasa bangga bisa menyelesaikan tugas kantor tepat waktu",0
"Aku menikmati waktu membaca sambil bersantai",0
"Aku senang bisa mencoba resep baru hari ini",0
"Aku merasa bersemangat menghadapi minggu baru",0
"Aku senang bisa membantu tetanggaku tadi",0
"Aku suka waktu malam saat semuanya sudah tenang",0
"Aku merasa rileks setelah membersihkan rumah",0
"Aku menikmati perjalanan singkat ke minimarket tadi",0
"Aku bersyukur bisa makan malam bersama keluarga",0
"Aku merasa cukup puas dengan apa yang aku capai hari ini",0
"Aku senang bisa bercanda dengan anakku tadi",0
"Aku suka menghabiskan waktu membuat kerajinan tangan",0
"Aku merasa nyaman berada di rumah",0
"Aku senang bisa menjaga rutinitas harianku",0
